gene,mean_expression,n_reference_samples
AMOTL1,0.012002194792271267,5
AMOTL2,0.015062182744761763,5
AMPD1,0.0009628176093649116,5
AMPD2,0.006394808511322886,5
AMPD3,0.005562948279846941,5
AMPH,0.0002834915356896635,5
AMT,0.009914347490802361,5
AMTN,8.041021036475251e-05,5
AMY2A,6.0535111620352097e-05,5
AMZ1,0.0003514141271417551,5
AMZ2,0.004086051089824046,5
ANAPC1,0.00202114832255889,5
ANAPC10,0.0013156937960507559,5
ANAPC11,0.024228179549793453,5
ANAPC13,0.00831091988132311,5
ANAPC15,0.008338052966009235,5
ANAPC16,0.03687900439631938,5
ANAPC2,0.007037111837188173,5
ANAPC4,0.013583924555838563,5
ANAPC5,0.017564415076343966,5
ANAPC7,0.012293947029615716,5
ANG,0.0036337335572587475,5
ANGEL1,0.007892091245706523,5
ANGEL2,0.005018806114697785,5
ANGPT1,0.007661636622539092,5
ANGPT4,0.0002251428811461574,5
ANGPTL1,0.001844858606345796,5
ANGPTL2,0.004559318928651468,5
ANGPTL3,0.00010842432734494515,5
ANGPTL4,0.0013378135462643033,5
ANGPTL5,0.00031946121566554965,5
ANGPTL6,0.0005778115704005236,5
ANGPTL7,0.0003891479097226011,5
ANGPTL8,0.00010083621016311934,5
ANHX,0.00016310795980351416,5
ANK1,0.0009475659327483037,5
ANK2,0.003705077662143172,5
ANK3,0.01831617490815559,5
ANKAR,0.00365177828765833,5
ANKDD1A,0.0014011518457072035,5
ANKDD1B,0.003005269222038737,5
ANKEF1,0.003071749562622926,5
ANKFN1,0.0010818629777483444,5
ANKFY1,0.009945123301481628,5
ANKH,0.006523201617905606,5
ANKHD1,0.03859209084020211,5
ANKIB1,0.007557349229927035,5
ANKK1,0.0003834394748574911,5
ANKLE1,0.0003277633106405835,5
ANKLE2,0.00859418336372543,5
ANKMY1,0.0038580080340296884,5
ANKMY2,0.0030822311846152015,5
ANKRA2,0.01257572405197375,5
ANKRD1,0.0020429500464926083,5
ANKRD10,0.038203612952513316,5
ANKRD11,0.02254220725911775,5
ANKRD12,0.009730080648028702,5
ANKRD13A,0.01150379513817785,5
ANKRD13B,0.0017940263337391182,5
ANKRD13C,0.007621130227906894,5
ANKRD13D,0.008704262670803828,5
ANKRD16,0.0027369017319890097,5
ANKRD17,0.016351415755186977,5
ANKRD18A,0.003210075128801059,5
ANKRD18B,0.0005440285024598882,5
ANKRD2,0.0002128857308640511,5
ANKRD22,0.0037651676954314458,5
ANKRD24,0.0006719137491436728,5
ANKRD26,0.008978896270355096,5
ANKRD27,0.0055492903462218525,5
ANKRD28,0.010232660759908441,5
ANKRD29,0.010546572698423526,5
ANKRD30A,8.50653397554626e-05,5
ANKRD30B,2.15909928984198e-07,5
ANKRD30BL,0.00031429205033441543,5
ANKRD31,0.00046378640274234256,5
ANKRD33,0.00016449048247950594,5
ANKRD33B,0.0012173416749348067,5
ANKRD34A,0.0005009985068972125,5
ANKRD34B,0.0001669091297774668,5
ANKRD34C,0.00012867733610537796,5
ANKRD35,0.0009558240694668202,5
ANKRD36,0.001634153717553132,5
ANKRD37,0.0047773183165374395,5
ANKRD39,0.0012901101180588742,5
ANKRD40,0.00850684477611668,5
ANKRD40CL,0.0018225871125296586,5
ANKRD42,0.005445978005399561,5
ANKRD44,0.00855536165624437,5
ANKRD45,0.0011588010049296904,5
ANKRD46,0.0021769517635130383,5
ANKRD49,0.00454985202705518,5
ANKRD50,0.00841381325271848,5
ANKRD52,0.005602362478743947,5
ANKRD53,0.000580421944163909,5
ANKRD54,0.0039542260287463585,5
ANKRD55,0.0003341183251550483,5
ANKRD6,0.0035412066118432326,5
ANKRD60,3.32338157474965e-05,5
ANKRD61,0.0001918991974707213,5
ANKRD62,0.0003221174832696404,5
ANKRD63,0.00030632257120367083,5
ANKRD65,0.004900480331165565,5
ANKRD66,0.0011027259516407195,5
ANKRD7,0.00017537846901744515,5
ANKRD9,0.005121209509193152,5
ANKS1A,0.008883154013188604,5
ANKS1B,0.001265689410331208,5
ANKS3,0.0031108776637799123,5
ANKS4B,0.0026057641915222343,5
ANKS6,0.003860027275935441,5
ANKUB1,0.0013312188192128537,5
ANKZF1,0.010346020805586897,5
ANLN,0.001923834241585538,5
