sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237907,P4_AAH1,AAH,macrophage,MIF,1788,0.26539161662611943,0.21364653243847875,present
GSM9237907,P4_AAH1,AAH,macrophage,CD74,1788,5.072114472217316,0.9932885906040269,present
GSM9237907,P4_AAH1,AAH,macrophage,CD44,1788,1.8870493843526484,0.7175615212527964,present
GSM9237907,P4_AAH1,AAH,macrophage,CXCR4,1788,0.6542250343664298,0.35961968680089484,present
GSM9237907,P4_AAH1,AAH,macrophage,SPP1,1788,0.011522905982897081,0.010626398210290829,present
GSM9237907,P4_AAH1,AAH,macrophage,TREM2,1788,0.7796358860797646,0.4211409395973154,present
GSM9237907,P4_AAH1,AAH,macrophage,PLA2G7,1788,0.32229148267099866,0.18959731543624161,present
GSM9237907,P4_AAH1,AAH,macrophage,IL1B,1788,0.10266762612734812,0.07270693512304251,present
GSM9237907,P4_AAH1,AAH,macrophage,TNF,1788,0.12368569440156052,0.09340044742729306,present
GSM9237907,P4_AAH1,AAH,macrophage,CXCL8,1788,0.14690028490107235,0.07997762863534676,present
GSM9237908,P4_LUAD,LUAD,all_cells,MIF,41638,0.42246308266803145,0.26610307891829577,present
GSM9237908,P4_LUAD,LUAD,all_cells,CD74,41638,3.6444490887395813,0.9326816849992795,present
GSM9237908,P4_LUAD,LUAD,all_cells,CD44,41638,1.348146878996686,0.5778855852826745,present
GSM9237908,P4_LUAD,LUAD,all_cells,CXCR4,41638,0.44972547727113876,0.21773380085498822,present
GSM9237908,P4_LUAD,LUAD,all_cells,SPP1,41638,0.1405637384413825,0.07118497526298093,present
GSM9237908,P4_LUAD,LUAD,all_cells,TREM2,41638,0.134072590813323,0.08153609683462222,present
GSM9237908,P4_LUAD,LUAD,all_cells,PLA2G7,41638,0.08759017070572717,0.05451750804553533,present
GSM9237908,P4_LUAD,LUAD,all_cells,IL1B,41638,0.037595149227200655,0.025025217349536482,present
GSM9237908,P4_LUAD,LUAD,all_cells,TNF,41638,0.09139640926344293,0.05610259858782843,present
GSM9237908,P4_LUAD,LUAD,all_cells,CXCL8,41638,0.029567841409816994,0.017988376002689852,present
GSM9237908,P4_LUAD,LUAD,epithelial,MIF,17517,0.557990056079996,0.35240052520408743,present
GSM9237908,P4_LUAD,LUAD,epithelial,CD74,17517,3.7450260846197017,0.9592395958212022,present
GSM9237908,P4_LUAD,LUAD,epithelial,CD44,17517,1.4574661761074785,0.6362961694354056,present
GSM9237908,P4_LUAD,LUAD,epithelial,CXCR4,17517,0.24777164209428348,0.14089170520066222,present
GSM9237908,P4_LUAD,LUAD,epithelial,SPP1,17517,0.09589806887294332,0.07061711480276303,present
GSM9237908,P4_LUAD,LUAD,epithelial,TREM2,17517,0.043153705826704906,0.038933607352857225,present
GSM9237908,P4_LUAD,LUAD,epithelial,PLA2G7,17517,0.0312137296309089,0.027002340583433235,present
GSM9237908,P4_LUAD,LUAD,epithelial,IL1B,17517,0.014195211521900454,0.012216703773477194,present
GSM9237908,P4_LUAD,LUAD,epithelial,TNF,17517,0.04903062366106249,0.03448079008962722,present
GSM9237908,P4_LUAD,LUAD,epithelial,CXCL8,17517,0.02038493242263434,0.014214762801849632,present
GSM9237908,P4_LUAD,LUAD,macrophage,MIF,5195,0.36114096719044997,0.2904716073147257,present
GSM9237908,P4_LUAD,LUAD,macrophage,CD74,5195,5.1683402185120295,0.9940327237728586,present
GSM9237908,P4_LUAD,LUAD,macrophage,CD44,5195,1.622038687862837,0.6808469682386911,present
GSM9237908,P4_LUAD,LUAD,macrophage,CXCR4,5195,0.7587560293760023,0.4107795957651588,present
GSM9237908,P4_LUAD,LUAD,macrophage,SPP1,5195,0.4886607809869642,0.1697786333012512,present
GSM9237908,P4_LUAD,LUAD,macrophage,TREM2,5195,0.7656450511506769,0.4232916265640039,present
GSM9237908,P4_LUAD,LUAD,macrophage,PLA2G7,5195,0.46716430054246766,0.26756496631376325,present
GSM9237908,P4_LUAD,LUAD,macrophage,IL1B,5195,0.17885550337745582,0.11857555341674687,present
GSM9237908,P4_LUAD,LUAD,macrophage,TNF,5195,0.15440734249329294,0.12781520692974013,present
GSM9237908,P4_LUAD,LUAD,macrophage,CXCL8,5195,0.09974775399743396,0.06506256015399423,present
GSM9237909,P5_Normal,Normal,all_cells,MIF,20410,0.19340543721693823,0.12528172464478196,present
GSM9237909,P5_Normal,Normal,all_cells,CD74,20410,2.172625797908094,0.6945614894659481,present
GSM9237909,P5_Normal,Normal,all_cells,CD44,20410,1.1723844936165246,0.45982361587457127,present
GSM9237909,P5_Normal,Normal,all_cells,CXCR4,20410,0.2438637729397168,0.11068103870651641,present
GSM9237909,P5_Normal,Normal,all_cells,SPP1,20410,0.02204277096684954,0.011464968152866241,present
GSM9237909,P5_Normal,Normal,all_cells,TREM2,20410,0.06351750157808482,0.037677609015188636,present
GSM9237909,P5_Normal,Normal,all_cells,PLA2G7,20410,0.03872897144289569,0.021068103870651642,present
GSM9237909,P5_Normal,Normal,all_cells,IL1B,20410,0.0874729013166036,0.041156295933366,present
GSM9237909,P5_Normal,Normal,all_cells,TNF,20410,0.03167302178849095,0.0185203331700147,present
GSM9237909,P5_Normal,Normal,all_cells,CXCL8,20410,0.17109092395941863,0.069671729544341,present
GSM9237909,P5_Normal,Normal,epithelial,MIF,5766,0.24736020207379336,0.16475893166840097,present
GSM9237909,P5_Normal,Normal,epithelial,CD74,5766,2.2835300834469474,0.7618799861255636,present
GSM9237909,P5_Normal,Normal,epithelial,CD44,5766,1.2881896865190046,0.5133541449878599,present
GSM9237909,P5_Normal,Normal,epithelial,CXCR4,5766,0.14992322148309134,0.07232049947970863,present
GSM9237909,P5_Normal,Normal,epithelial,SPP1,5766,0.01174180743643877,0.007630939993062782,present
GSM9237909,P5_Normal,Normal,epithelial,TREM2,5766,0.025972832132696435,0.016475893166840096,present
GSM9237909,P5_Normal,Normal,epithelial,PLA2G7,5766,0.014726772556103855,0.010058966354491848,present
GSM9237909,P5_Normal,Normal,epithelial,IL1B,5766,0.035908346177523386,0.019077349982656956,present
GSM9237909,P5_Normal,Normal,epithelial,TNF,5766,0.019925403858152828,0.01057925771765522,present
GSM9237909,P5_Normal,Normal,epithelial,CXCL8,5766,0.10038462431516829,0.04699965313909123,present
GSM9237909,P5_Normal,Normal,macrophage,MIF,2104,0.2812853795252533,0.24477186311787072,present
GSM9237909,P5_Normal,Normal,macrophage,CD74,2104,4.356525706985308,0.9605513307984791,present
GSM9237909,P5_Normal,Normal,macrophage,CD44,2104,2.0152024652727554,0.7324144486692015,present
GSM9237909,P5_Normal,Normal,macrophage,CXCR4,2104,0.3458751017649361,0.19819391634980987,present
