sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237908,P4_LUAD,LUAD,epithelial,refined_spp1_macrophage,17517,0.21854121594160333
GSM9237908,P4_LUAD,LUAD,epithelial,refined_c1q_macrophage,17517,0.3683256259667316
GSM9237908,P4_LUAD,LUAD,epithelial,refined_inflammatory_macrophage,17517,0.1454390966046252
GSM9237908,P4_LUAD,LUAD,macrophage,epithelial,5195,0.7725118333765881
GSM9237908,P4_LUAD,LUAD,macrophage,macrophage,5195,2.2449793292945697
GSM9237908,P4_LUAD,LUAD,macrophage,epithelial_progenitor_like,5195,0.34005671230079604
GSM9237908,P4_LUAD,LUAD,macrophage,spp1_macrophage,5195,1.5621144115648902
GSM9237908,P4_LUAD,LUAD,macrophage,c1q_macrophage,5195,2.7100296567858266
GSM9237908,P4_LUAD,LUAD,macrophage,inflammatory_macrophage,5195,0.3317561178341434
GSM9237908,P4_LUAD,LUAD,macrophage,refined_epithelial_progenitor_like,5195,0.30725971897424265
GSM9237908,P4_LUAD,LUAD,macrophage,refined_spp1_macrophage,5195,0.24600134066336948
GSM9237908,P4_LUAD,LUAD,macrophage,refined_c1q_macrophage,5195,0.8015094396570668
GSM9237908,P4_LUAD,LUAD,macrophage,refined_inflammatory_macrophage,5195,0.25479378258661467
GSM9237909,P5_Normal,Normal,all_cells,epithelial,20410,0.8502423692108734
GSM9237909,P5_Normal,Normal,all_cells,macrophage,20410,0.43695429234037775
GSM9237909,P5_Normal,Normal,all_cells,epithelial_progenitor_like,20410,0.42967916526923894
GSM9237909,P5_Normal,Normal,all_cells,spp1_macrophage,20410,0.45421980114674004
GSM9237909,P5_Normal,Normal,all_cells,c1q_macrophage,20410,0.5063358251083022
GSM9237909,P5_Normal,Normal,all_cells,inflammatory_macrophage,20410,0.2533519610773111
GSM9237909,P5_Normal,Normal,all_cells,refined_epithelial_progenitor_like,20410,0.38727888584842574
GSM9237909,P5_Normal,Normal,all_cells,refined_spp1_macrophage,20410,0.13583072177890232
GSM9237909,P5_Normal,Normal,all_cells,refined_c1q_macrophage,20410,0.27905795434924596
GSM9237909,P5_Normal,Normal,all_cells,refined_inflammatory_macrophage,20410,0.2027095783513316
GSM9237909,P5_Normal,Normal,epithelial,epithelial,5766,1.6534919219149333
GSM9237909,P5_Normal,Normal,epithelial,macrophage,5766,0.2460914516807807
GSM9237909,P5_Normal,Normal,epithelial,epithelial_progenitor_like,5766,1.1009746893302366
GSM9237909,P5_Normal,Normal,epithelial,spp1_macrophage,5766,0.5557723653033807
GSM9237909,P5_Normal,Normal,epithelial,c1q_macrophage,5766,0.2795786310417743
GSM9237909,P5_Normal,Normal,epithelial,inflammatory_macrophage,5766,0.2548040468421701
GSM9237909,P5_Normal,Normal,epithelial,refined_epithelial_progenitor_like,5766,0.7154885979314295
GSM9237909,P5_Normal,Normal,epithelial,refined_spp1_macrophage,5766,0.17696487649186013
GSM9237909,P5_Normal,Normal,epithelial,refined_c1q_macrophage,5766,0.2545090125964105
GSM9237909,P5_Normal,Normal,epithelial,refined_inflammatory_macrophage,5766,0.2000327229224618
GSM9237909,P5_Normal,Normal,macrophage,epithelial,2104,0.5589158251905502
GSM9237909,P5_Normal,Normal,macrophage,macrophage,2104,1.9462038677768092
GSM9237909,P5_Normal,Normal,macrophage,epithelial_progenitor_like,2104,0.16112030471329314
GSM9237909,P5_Normal,Normal,macrophage,spp1_macrophage,2104,1.1101025530254465
GSM9237909,P5_Normal,Normal,macrophage,c1q_macrophage,2104,2.3209157930939517
GSM9237909,P5_Normal,Normal,macrophage,inflammatory_macrophage,2104,0.5092183248960774
GSM9237909,P5_Normal,Normal,macrophage,refined_epithelial_progenitor_like,2104,0.251797869174758
GSM9237909,P5_Normal,Normal,macrophage,refined_spp1_macrophage,2104,0.1624524779524426
GSM9237909,P5_Normal,Normal,macrophage,refined_c1q_macrophage,2104,0.8497886673911961
GSM9237909,P5_Normal,Normal,macrophage,refined_inflammatory_macrophage,2104,0.26881219798005396
GSM9237910,P5_AIS,AIS,all_cells,epithelial,3135,0.9812742686559431
GSM9237910,P5_AIS,AIS,all_cells,macrophage,3135,0.2784082370939498
GSM9237910,P5_AIS,AIS,all_cells,epithelial_progenitor_like,3135,0.6055267720423797
GSM9237910,P5_AIS,AIS,all_cells,spp1_macrophage,3135,0.4136298546762181
GSM9237910,P5_AIS,AIS,all_cells,c1q_macrophage,3135,0.2966252365022761
GSM9237910,P5_AIS,AIS,all_cells,inflammatory_macrophage,3135,0.10677573898490604
GSM9237910,P5_AIS,AIS,all_cells,refined_epithelial_progenitor_like,3135,0.44638645546960876
GSM9237910,P5_AIS,AIS,all_cells,refined_spp1_macrophage,3135,0.14436964015929896
GSM9237910,P5_AIS,AIS,all_cells,refined_c1q_macrophage,3135,0.2169754044360971
GSM9237910,P5_AIS,AIS,all_cells,refined_inflammatory_macrophage,3135,0.13300002894144913
GSM9237910,P5_AIS,AIS,epithelial,epithelial,1212,1.6310160329799974
GSM9237910,P5_AIS,AIS,epithelial,macrophage,1212,0.1205752248295159
GSM9237910,P5_AIS,AIS,epithelial,epithelial_progenitor_like,1212,1.2740232870987247
GSM9237910,P5_AIS,AIS,epithelial,spp1_macrophage,1212,0.5158409237569471
