Cell_type.refined,n_cells,mean_expression,median_expression,gene
Myeloid cells,42245,1.9115047,1.7917595,LGALS3
T/NK cells,64403,0.1892269,0.0,LGALS3
,28437,0.16931127,0.0,LGALS3
B lymphocytes,27657,0.009515556,0.0,TREM2
Endothelial cells,2107,0.023216149,0.0,TREM2
Epithelial cells,36467,0.018995168,0.0,TREM2
Fibroblasts,3794,0.023690222,0.0,TREM2
MAST cells,3396,0.01086803,0.0,TREM2
Myeloid cells,42245,0.76335996,0.6931472,TREM2
T/NK cells,64403,0.005096222,0.0,TREM2
,28437,0.005266283,0.0,TREM2
B lymphocytes,27657,0.05611392,0.0,CD9
Endothelial cells,2107,0.6842663,0.6931472,CD9
Epithelial cells,36467,1.5401087,1.3862944,CD9
Fibroblasts,3794,0.8077581,0.6931472,CD9
MAST cells,3396,1.0998255,1.0986123,CD9
Myeloid cells,42245,1.0752391,0.6931472,CD9
T/NK cells,64403,0.044923693,0.0,CD9
,28437,0.09971086,0.0,CD9
B lymphocytes,27657,0.018591123,0.0,IL1B
Endothelial cells,2107,0.041486576,0.0,IL1B
Epithelial cells,36467,0.057834778,0.0,IL1B
Fibroblasts,3794,0.052923393,0.0,IL1B
MAST cells,3396,0.02524532,0.0,IL1B
Myeloid cells,42245,0.99897325,0.6931472,IL1B
