Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
PE,Epithelial cells,396,0.44950002,0.13862944,0.7074193,fibroblast
PE,Myeloid cells,3063,0.0033477994,0.0,0.026076715,fibroblast
PE,T/NK cells,9192,0.0017582797,0.0,0.015710015,fibroblast
PE,,4368,0.0019042505,0.0,0.01640793,fibroblast
mBrain,B lymphocytes,1311,0.01649024,0.0,0.08609295,fibroblast
mBrain,Endothelial cells,159,0.05254375,0.0,0.12647784,fibroblast
mBrain,Epithelial cells,15463,0.11447231,0.0,0.19870755,fibroblast
mBrain,Fibroblasts,444,2.717312,2.489915,1.5481749,fibroblast
mBrain,MAST cells,508,0.001364463,0.0,0.013698992,fibroblast
mBrain,Myeloid cells,5657,0.052428924,0.0,0.1211112,fibroblast
mBrain,T/NK cells,2683,0.011970789,0.0,0.046074785,fibroblast
mBrain,,2835,0.021268947,0.0,0.15582559,fibroblast
mLN,B lymphocytes,6062,0.004752004,0.0,0.028721785,fibroblast
mLN,Epithelial cells,3053,0.1992149,0.0,0.30861166,fibroblast
mLN,Myeloid cells,5442,0.009208413,0.0,0.079091124,fibroblast
mLN,T/NK cells,5069,0.0032637632,0.0,0.021353029,fibroblast
mLN,,1819,0.004628949,0.0,0.03736633,fibroblast
nLN,B lymphocytes,10584,0.0018730381,0.0,0.018783594,fibroblast
nLN,Myeloid cells,1288,0.05980065,0.0,0.33177736,fibroblast
nLN,T/NK cells,19478,0.00072125916,0.0,0.010155389,fibroblast
nLN,,6096,0.001261943,0.0,0.014983143,fibroblast
nLung,B lymphocytes,634,0.014085246,0.0,0.052304868,fibroblast
nLung,Endothelial cells,1295,0.01875399,0.0,0.054928277,fibroblast
nLung,Epithelial cells,3703,0.034900125,0.0,0.0943539,fibroblast
nLung,Fibroblasts,1585,2.3575675,2.4540908,0.8847009,fibroblast
nLung,MAST cells,1079,0.00859847,0.0,0.038141776,fibroblast
nLung,Myeloid cells,16672,0.023337785,0.0,0.06972941,fibroblast
nLung,T/NK cells,11413,0.008197186,0.0,0.036706425,fibroblast
nLung,,6614,0.014533077,0.0,0.105533704,fibroblast
tL/B,B lymphocytes,469,0.011578049,0.0,0.043895926,fibroblast
tL/B,Epithelial cells,6582,0.117957264,0.0,0.20725954,fibroblast
tL/B,Myeloid cells,1329,0.02486258,0.0,0.17618716,fibroblast
tL/B,T/NK cells,2627,0.0074885692,0.0,0.0365469,fibroblast
tL/B,,963,0.006502473,0.0,0.03464307,fibroblast
tLung,B lymphocytes,5312,0.032738127,0.0,0.082989454,fibroblast
tLung,Endothelial cells,627,0.034567036,0.0,0.084079415,fibroblast
tLung,Epithelial cells,7270,0.14747201,0.0,0.22257325,fibroblast
tLung,Fibroblasts,1654,2.7782164,2.7535508,1.1542938,fibroblast
tLung,MAST cells,1809,0.013475916,0.0,0.04808644,fibroblast
